date,word,frequency
05/11/00,immigrant,2
05/11/00,drug,64
05/11/00,israel,0
05/11/00,euro,14
05/11/00,stock,56
05/11/00,deng,0
05/11/00,missile,52
05/11/00,lehrer,0
05/11/00,jones,0
05/11/00,company,209
05/11/00,walker,1
05/29/00,debate,17
05/29/00,defense,27
05/29/00,print,31
05/29/00,judge,8
05/29/00,planet,1
05/29/00,game,140
05/29/00,lazio,0
05/29/00,convention,8
05/29/00,china,0
05/29/00,clancy,0
05/29/00,voter,9
05/29/00,cardenas,0
05/29/00,fund,23
05/29/00,party,16
05/29/00,river,31
05/29/00,gore,0
05/29/00,doughnut,0
05/29/00,campaign,36
05/29/00,plan,116
05/29/00,tire,64
05/29/00,mccain,0
05/29/00,carbon,1
05/29/00,speech,5
05/29/00,pressman,0
05/29/00,bush,0
05/29/00,tax,33
05/29/00,cut,129
05/29/00,bill,57
05/29/00,delegate,0
05/29/00,knicks,0
05/29/00,lieberman,0
05/29/00,statue,1
05/29/00,teacher,10
05/29/00,mets,12
05/29/00,cheney,0
05/29/00,clinton,0
05/29/00,school,49
05/29/00,airline,3
05/29/00,oil,83
05/29/00,immigrant,12
05/29/00,drug,28
05/29/00,israel,0
05/29/00,euro,4
05/29/00,stock,57
05/29/00,deng,0
05/29/00,missile,11
05/29/00,lehrer,0
05/29/00,jones,0
05/29/00,company,117
05/29/00,walker,0
05/16/00,debate,36
05/16/00,defense,22
05/16/00,print,11
05/16/00,judge,12
05/16/00,planet,2
05/16/00,game,104
05/16/00,lazio,0
05/16/00,convention,5
05/16/00,china,0
05/16/00,clancy,0
05/16/00,voter,31
05/16/00,cardenas,0
05/16/00,fund,68
05/16/00,party,48
05/16/00,river,28
05/16/00,gore,0
05/16/00,doughnut,0
05/16/00,campaign,70
05/16/00,plan,173
05/16/00,tire,111
05/16/00,mccain,0
05/16/00,carbon,65
05/16/00,speech,15
05/16/00,pressman,0
05/16/00,bush,6
05/16/00,tax,83
05/16/00,cut,153
05/16/00,bill,87
05/16/00,delegate,0
05/16/00,knicks,0
05/16/00,lieberman,0
05/16/00,statue,0
05/16/00,teacher,31
05/16/00,mets,0
05/16/00,cheney,0
05/16/00,clinton,0
05/16/00,school,83
05/16/00,airline,17
05/16/00,oil,35
05/16/00,immigrant,35
05/16/00,drug,57
05/16/00,israel,1
05/16/00,euro,9
05/16/00,stock,73
05/16/00,deng,0
05/16/00,missile,4
05/16/00,lehrer,0
05/16/00,jones,0
05/16/00,company,136
05/16/00,walker,2
05/28/00,debate,40
05/28/00,defense,91
05/28/00,print,44
05/28/00,judge,56
05/28/00,planet,5
05/28/00,game,271
05/28/00,lazio,0
05/28/00,convention,19
05/28/00,china,6
05/28/00,clancy,0
05/28/00,voter,41
05/28/00,cardenas,0
05/28/00,fund,123
05/28/00,party,94
05/28/00,river,139
05/28/00,gore,1
05/28/00,doughnut,1
05/28/00,campaign,70
05/28/00,plan,392
05/28/00,tire,211
05/28/00,mccain,0
05/28/00,carbon,3
05/28/00,speech,42
05/28/00,pressman,0
05/28/00,bush,15
05/28/00,tax,146
05/28/00,cut,396
05/28/00,bill,121
05/28/00,delegate,6
05/28/00,knicks,0
05/28/00,lieberman,0
05/28/00,statue,9
05/28/00,teacher,99
05/28/00,mets,3
05/28/00,cheney,0
05/28/00,clinton,0
05/28/00,school,393
05/28/00,airline,10
05/28/00,oil,107
05/28/00,immigrant,52
05/28/00,drug,69
05/28/00,israel,0
05/28/00,euro,10
05/28/00,stock,163
05/28/00,deng,0
05/28/00,missile,151
05/28/00,lehrer,0
05/28/00,jones,0
05/28/00,company,314
05/28/00,walker,6
05/17/00,debate,41
05/17/00,defense,18
05/17/00,print,26
05/17/00,judge,51
05/17/00,planet,2
05/17/00,game,119
05/17/00,lazio,0
05/17/00,convention,23
05/17/00,china,0
05/17/00,clancy,0
05/17/00,voter,22
05/17/00,cardenas,0
05/17/00,fund,52
05/17/00,party,68
05/17/00,river,115
05/17/00,gore,0
05/17/00,doughnut,1
05/17/00,campaign,83
05/17/00,plan,195
05/17/00,tire,177
05/17/00,mccain,0
05/17/00,carbon,3
05/17/00,speech,35
05/17/00,pressman,0
05/17/00,bush,1
05/17/00,tax,88
05/17/00,cut,250
05/17/00,bill,122
05/17/00,delegate,8
05/17/00,knicks,0
05/17/00,lieberman,0
05/17/00,statue,1
05/17/00,teacher,37
05/17/00,mets,3
05/17/00,cheney,0
05/17/00,clinton,0
05/17/00,school,183
05/17/00,airline,10
05/17/00,oil,98
05/17/00,immigrant,7
05/17/00,drug,25
05/17/00,israel,0
05/17/00,euro,11
05/17/00,stock,116
05/17/00,deng,0
05/17/00,missile,2
05/17/00,lehrer,0
05/17/00,jones,0
05/17/00,company,163
05/17/00,walker,0
05/10/00,debate,14
05/10/00,defense,35
05/10/00,print,11
05/10/00,judge,43
05/10/00,planet,0
05/10/00,game,104
05/10/00,lazio,0
05/10/00,convention,14
05/10/00,china,1
05/10/00,clancy,0
05/10/00,voter,22
05/10/00,cardenas,0
05/10/00,fund,54
05/10/00,party,39
05/10/00,river,25
05/10/00,gore,0
05/10/00,doughnut,0
05/10/00,campaign,68
05/10/00,plan,147
05/10/00,tire,58
05/10/00,mccain,0
05/10/00,carbon,0
05/10/00,speech,28
05/10/00,pressman,0
05/10/00,bush,4
05/10/00,tax,26
05/10/00,cut,209
05/10/00,bill,98
05/10/00,delegate,2
05/10/00,knicks,0
05/10/00,lieberman,0
05/10/00,statue,0
05/10/00,teacher,9
05/10/00,mets,0
05/10/00,cheney,0
05/10/00,clinton,0
05/10/00,school,86
05/10/00,airline,2
05/10/00,oil,67
05/10/00,immigrant,2
05/10/00,drug,19
05/10/00,israel,0
05/10/00,euro,12
05/10/00,stock,82
05/10/00,deng,0
05/10/00,missile,21
05/10/00,lehrer,0
05/10/00,jones,0
05/10/00,company,142
05/10/00,walker,0
05/19/00,debate,28
05/19/00,defense,28
05/19/00,print,45
05/19/00,judge,7
05/19/00,planet,12
05/19/00,game,151
05/19/00,lazio,0
05/19/00,convention,28
05/19/00,china,0
05/19/00,clancy,0
05/19/00,voter,9
05/19/00,cardenas,0
05/19/00,fund,49
05/19/00,party,51
05/19/00,river,21
05/19/00,gore,0
05/19/00,doughnut,0
05/19/00,campaign,138
05/19/00,plan,193
05/19/00,tire,90
05/19/00,mccain,0
05/19/00,carbon,1
05/19/00,speech,25
05/19/00,pressman,0
05/19/00,bush,0
05/19/00,tax,56
05/19/00,cut,229
05/19/00,bill,133
05/19/00,delegate,0
05/19/00,knicks,0
05/19/00,lieberman,0
05/19/00,statue,2
05/19/00,teacher,14
05/19/00,mets,0
05/19/00,cheney,0
05/19/00,clinton,0
05/19/00,school,98
05/19/00,airline,17
05/19/00,oil,31
05/19/00,immigrant,12
05/19/00,drug,12
05/19/00,israel,0
05/19/00,euro,4
05/19/00,stock,57
05/19/00,deng,0
05/19/00,missile,16
05/19/00,lehrer,0
05/19/00,jones,0
05/19/00,company,173
05/19/00,walker,0
05/26/00,debate,20
05/26/00,defense,38
05/26/00,print,25
05/26/00,judge,28
05/26/00,planet,2
05/26/00,game,134
05/26/00,lazio,0
05/26/00,convention,16
05/26/00,china,0
05/26/00,clancy,0
05/26/00,voter,12
05/26/00,cardenas,0
05/26/00,fund,26
05/26/00,party,105
05/26/00,river,32
05/26/00,gore,0
05/26/00,doughnut,1
05/26/00,campaign,98
05/26/00,plan,156
05/26/00,tire,63
05/26/00,mccain,0
05/26/00,carbon,0
05/26/00,speech,19
05/26/00,pressman,0
05/26/00,bush,3
05/26/00,tax,25
05/26/00,cut,199
05/26/00,bill,157
05/26/00,delegate,5
05/26/00,knicks,0
05/26/00,lieberman,0
05/26/00,statue,1
05/26/00,teacher,16
05/26/00,mets,3
05/26/00,cheney,0
05/26/00,clinton,0
05/26/00,school,72
05/26/00,airline,6
05/26/00,oil,37
05/26/00,immigrant,3
05/26/00,drug,36
05/26/00,israel,0
05/26/00,euro,9
05/26/00,stock,63
05/26/00,deng,0
05/26/00,missile,26
05/26/00,lehrer,0
05/26/00,jones,0
05/26/00,company,164
05/26/00,walker,1
05/21/00,debate,39
05/21/00,defense,24
05/21/00,print,95
05/21/00,judge,47
05/21/00,planet,17
05/21/00,game,240
05/21/00,lazio,1
05/21/00,convention,38
05/21/00,china,15
05/21/00,clancy,0
05/21/00,voter,72
05/21/00,cardenas,0
05/21/00,fund,144
05/21/00,party,100
05/21/00,river,69
05/21/00,gore,5
05/21/00,doughnut,2
05/21/00,campaign,141
05/21/00,plan,526
05/21/00,tire,182
05/21/00,mccain,0
05/21/00,carbon,24
05/21/00,speech,57
05/21/00,pressman,0
05/21/00,bush,21
05/21/00,tax,130
05/21/00,cut,439
05/21/00,bill,149
05/21/00,delegate,4
05/21/00,knicks,0
05/21/00,lieberman,0
05/21/00,statue,6
05/21/00,teacher,48
05/21/00,mets,2
05/21/00,cheney,0
05/21/00,clinton,0
05/21/00,school,338
05/21/00,airline,5
05/21/00,oil,202
05/21/00,immigrant,27
05/21/00,drug,136
05/21/00,israel,0
05/21/00,euro,20
05/21/00,stock,101
05/21/00,deng,0
05/21/00,missile,4
05/21/00,lehrer,0
05/21/00,jones,0
05/21/00,company,258
05/21/00,walker,15
05/07/00,debate,40
05/07/00,defense,48
05/07/00,print,52
05/07/00,judge,55
05/07/00,planet,17
05/07/00,game,244
05/07/00,lazio,0
05/07/00,convention,36
05/07/00,china,2
05/07/00,clancy,0
05/07/00,voter,20
05/07/00,cardenas,0
05/07/00,fund,105
05/07/00,party,80
05/07/00,river,130
05/07/00,gore,1
05/07/00,doughnut,0
05/07/00,campaign,88
05/07/00,plan,480
05/07/00,tire,169
05/07/00,mccain,0
05/07/00,carbon,1
05/07/00,speech,29
05/07/00,pressman,0
05/07/00,bush,11
05/07/00,tax,133
05/07/00,cut,392
05/07/00,bill,132
05/07/00,delegate,1
05/07/00,knicks,0
05/07/00,lieberman,0
05/07/00,statue,5
05/07/00,teacher,60
05/07/00,mets,3
05/07/00,cheney,0
05/07/00,clinton,0
05/07/00,school,315
05/07/00,airline,9
05/07/00,oil,123
05/07/00,immigrant,46
05/07/00,drug,100
05/07/00,israel,0
05/07/00,euro,17
05/07/00,stock,252
05/07/00,deng,1
05/07/00,missile,26
05/07/00,lehrer,0
05/07/00,jones,0
05/07/00,company,298
05/07/00,walker,1
05/09/00,debate,30
05/09/00,defense,23
05/09/00,print,9
05/09/00,judge,25
05/09/00,planet,10
05/09/00,game,144
05/09/00,lazio,0
05/09/00,convention,7
05/09/00,china,2
05/09/00,clancy,0
05/09/00,voter,28
05/09/00,cardenas,0
05/09/00,fund,30
05/09/00,party,52
05/09/00,river,1
05/09/00,gore,0
05/09/00,doughnut,0
05/09/00,campaign,56
05/09/00,plan,158
05/09/00,tire,69
05/09/00,mccain,0
05/09/00,carbon,10
05/09/00,speech,14
05/09/00,pressman,0
05/09/00,bush,6
05/09/00,tax,30
05/09/00,cut,150
05/09/00,bill,81
05/09/00,delegate,3
05/09/00,knicks,0
05/09/00,lieberman,0
05/09/00,statue,0
05/09/00,teacher,23
05/09/00,mets,4
05/09/00,cheney,0
05/09/00,clinton,0
05/09/00,school,74
05/09/00,airline,0
05/09/00,oil,16
05/09/00,immigrant,2
05/09/00,drug,19
05/09/00,israel,0
05/09/00,euro,7
05/09/00,stock,36
05/09/00,deng,0
05/09/00,missile,2
05/09/00,lehrer,0
05/09/00,jones,0
05/09/00,company,84
05/09/00,walker,5
05/31/00,debate,10
05/31/00,defense,45
05/31/00,print,6
05/31/00,judge,11
05/31/00,planet,2
05/31/00,game,105
05/31/00,lazio,0
05/31/00,convention,23
05/31/00,china,0
05/31/00,clancy,0
05/31/00,voter,31
05/31/00,cardenas,0
05/31/00,fund,30
05/31/00,party,69
05/31/00,river,9
05/31/00,gore,0
05/31/00,doughnut,0
05/31/00,campaign,99
05/31/00,plan,101
05/31/00,tire,42
05/31/00,mccain,0
05/31/00,carbon,0
05/31/00,speech,29
05/31/00,pressman,0
05/31/00,bush,3
05/31/00,tax,34
05/31/00,cut,157
05/31/00,bill,66
05/31/00,delegate,5
05/31/00,knicks,0
05/31/00,lieberman,0
05/31/00,statue,2
05/31/00,teacher,57
05/31/00,mets,0
05/31/00,cheney,0
05/31/00,clinton,0
05/31/00,school,107
05/31/00,airline,9
05/31/00,oil,58
05/31/00,immigrant,5
05/31/00,drug,40
05/31/00,israel,0
05/31/00,euro,20
05/31/00,stock,51
05/31/00,deng,0
05/31/00,missile,16
05/31/00,lehrer,0
05/31/00,jones,0
05/31/00,company,151
05/31/00,walker,0
05/30/00,debate,14
05/30/00,defense,24
05/30/00,print,58
05/30/00,judge,23
05/30/00,planet,4
05/30/00,game,140
05/30/00,lazio,0
05/30/00,convention,7
05/30/00,china,0
05/30/00,clancy,0
05/30/00,voter,8
05/30/00,cardenas,0
05/30/00,fund,18
05/30/00,party,21
05/30/00,river,15
05/30/00,gore,0
05/30/00,doughnut,1
05/30/00,campaign,48
05/30/00,plan,156
05/30/00,tire,53
05/30/00,mccain,0
05/30/00,carbon,1
05/30/00,speech,11
05/30/00,pressman,0
05/30/00,bush,2
05/30/00,tax,54
05/30/00,cut,124
05/30/00,bill,94
05/30/00,delegate,0
05/30/00,knicks,0
05/30/00,lieberman,0
05/30/00,statue,0
05/30/00,teacher,30
05/30/00,mets,0
05/30/00,cheney,0
05/30/00,clinton,0
05/30/00,school,94
05/30/00,airline,0
05/30/00,oil,29
05/30/00,immigrant,9
05/30/00,drug,34
05/30/00,israel,0
05/30/00,euro,12
05/30/00,stock,23
05/30/00,deng,0
05/30/00,missile,2
05/30/00,lehrer,0
05/30/00,jones,0
05/30/00,company,86
05/30/00,walker,0
05/08/00,debate,35
05/08/00,defense,24
05/08/00,print,20
05/08/00,judge,13
05/08/00,planet,1
05/08/00,game,155
05/08/00,lazio,0
05/08/00,convention,14
05/08/00,china,0
05/08/00,clancy,0
05/08/00,voter,8
05/08/00,cardenas,0
05/08/00,fund,45
05/08/00,party,25
05/08/00,river,5
05/08/00,gore,0
05/08/00,doughnut,1
05/08/00,campaign,62
05/08/00,plan,95
05/08/00,tire,50
05/08/00,mccain,0
05/08/00,carbon,6
05/08/00,speech,28
05/08/00,pressman,0
05/08/00,bush,4
05/08/00,tax,80
05/08/00,cut,153
05/08/00,bill,82
05/08/00,delegate,5
05/08/00,knicks,0
05/08/00,lieberman,0
05/08/00,statue,0
05/08/00,teacher,34
05/08/00,mets,1
05/08/00,cheney,0
05/08/00,clinton,0
05/08/00,school,66
05/08/00,airline,13
05/08/00,oil,8
05/08/00,immigrant,30
05/08/00,drug,21
05/08/00,israel,0
05/08/00,euro,30
05/08/00,stock,21
05/08/00,deng,0
05/08/00,missile,13
05/08/00,lehrer,0
05/08/00,jones,0
05/08/00,company,133
05/08/00,walker,0
05/01/00,debate,21
05/01/00,defense,17
05/01/00,print,18
05/01/00,judge,24
05/01/00,planet,0
05/01/00,game,103
05/01/00,lazio,0
05/01/00,convention,2
05/01/00,china,0
05/01/00,clancy,0
05/01/00,voter,9
05/01/00,cardenas,0
05/01/00,fund,17
05/01/00,party,22
05/01/00,river,59
05/01/00,gore,0
05/01/00,doughnut,0
05/01/00,campaign,65
05/01/00,plan,201
05/01/00,tire,65
05/01/00,mccain,0
05/01/00,carbon,0
05/01/00,speech,21
05/01/00,pressman,0
05/01/00,bush,6
05/01/00,tax,25
05/01/00,cut,140
05/01/00,bill,69
05/01/00,delegate,0
05/01/00,knicks,0
05/01/00,lieberman,0
05/01/00,statue,1
05/01/00,teacher,19
05/01/00,mets,0
05/01/00,cheney,0
05/01/00,clinton,0
05/01/00,school,26
05/01/00,airline,1
05/01/00,oil,12
05/01/00,immigrant,3
05/01/00,drug,27
05/01/00,israel,0
05/01/00,euro,4
05/01/00,stock,61
05/01/00,deng,0
05/01/00,missile,16
05/01/00,lehrer,0
05/01/00,jones,0
05/01/00,company,167
05/01/00,walker,0
05/06/00,debate,19
05/06/00,defense,26
05/06/00,print,14
05/06/00,judge,34
05/06/00,planet,1
05/06/00,game,89
05/06/00,lazio,0
05/06/00,convention,6
05/06/00,china,1
05/06/00,clancy,0
05/06/00,voter,18
05/06/00,cardenas,0
05/06/00,fund,56
05/06/00,party,19
05/06/00,river,23
05/06/00,gore,0
05/06/00,doughnut,0
05/06/00,campaign,42
05/06/00,plan,84
05/06/00,tire,40
05/06/00,mccain,0
05/06/00,carbon,0
05/06/00,speech,14
05/06/00,pressman,0
05/06/00,bush,2
05/06/00,tax,30
05/06/00,cut,155
05/06/00,bill,96
05/06/00,delegate,6
05/06/00,knicks,0
05/06/00,lieberman,0
05/06/00,statue,1
05/06/00,teacher,96
05/06/00,mets,0
05/06/00,cheney,0
05/06/00,clinton,0
05/06/00,school,152
05/06/00,airline,2
05/06/00,oil,17
05/06/00,immigrant,6
05/06/00,drug,28
05/06/00,israel,0
05/06/00,euro,10
05/06/00,stock,24
05/06/00,deng,0
05/06/00,missile,0
05/06/00,lehrer,0
05/06/00,jones,0
05/06/00,company,88
05/06/00,walker,0
05/24/00,debate,43
05/24/00,defense,81
05/24/00,print,5
05/24/00,judge,25
05/24/00,planet,0
05/24/00,game,100
05/24/00,lazio,0
05/24/00,convention,18
05/24/00,china,1
05/24/00,clancy,0
05/24/00,voter,22
05/24/00,cardenas,0
05/24/00,fund,44
05/24/00,party,26
05/24/00,river,11
05/24/00,gore,0
05/24/00,doughnut,0
05/24/00,campaign,72
05/24/00,plan,215
05/24/00,tire,53
05/24/00,mccain,0
05/24/00,carbon,0
05/24/00,speech,19
05/24/00,pressman,0
05/24/00,bush,0
05/24/00,tax,69
05/24/00,cut,242
05/24/00,bill,146
05/24/00,delegate,0
05/24/00,knicks,0
05/24/00,lieberman,0
05/24/00,statue,2
05/24/00,teacher,18
05/24/00,mets,0
05/24/00,cheney,0
05/24/00,clinton,0
05/24/00,school,208
05/24/00,airline,78
05/24/00,oil,31
05/24/00,immigrant,3
05/24/00,drug,28
05/24/00,israel,0
05/24/00,euro,6
05/24/00,stock,117
05/24/00,deng,0
05/24/00,missile,45
05/24/00,lehrer,0
05/24/00,jones,0
05/24/00,company,157
05/24/00,walker,0
05/23/00,debate,29
05/23/00,defense,23
05/23/00,print,8
05/23/00,judge,53
05/23/00,planet,4
05/23/00,game,171
05/23/00,lazio,0
05/23/00,convention,18
05/23/00,china,1
05/23/00,clancy,0
05/23/00,voter,24
05/23/00,cardenas,0
05/23/00,fund,24
05/23/00,party,38
05/23/00,river,8
05/23/00,gore,0
05/23/00,doughnut,0
05/23/00,campaign,61
05/23/00,plan,157
05/23/00,tire,52
05/23/00,mccain,0
05/23/00,carbon,2
05/23/00,speech,36
05/23/00,pressman,0
05/23/00,bush,6
05/23/00,tax,32
05/23/00,cut,177
05/23/00,bill,117
05/23/00,delegate,2
05/23/00,knicks,0
05/23/00,lieberman,0
05/23/00,statue,1
05/23/00,teacher,34
05/23/00,mets,3
05/23/00,cheney,0
05/23/00,clinton,0
05/23/00,school,108
05/23/00,airline,5
05/23/00,oil,20
